iter	RMSE
0	249.3519551
1	236.6248092
2	224.3953462
3	213.6371022
4	203.5019713
5	194.1495865
6	185.3143436
7	177.5540059
8	170.1059989
9	163.4464943
10	157.3687441
11	151.6255808
12	146.4750462
13	141.6529333
14	137.3897347
15	133.4882302
16	129.8965608
17	126.5240537
18	123.5662804
19	120.756531
20	117.3338904
21	114.9900938
22	112.8202065
23	110.7269117
24	108.7745587
25	106.9835876
26	105.3732706
27	102.8869701
28	101.436239
29	99.97888407
30	98.60121575
31	97.42233248
32	95.27589274
33	93.27820201
34	92.27935541
35	91.30554265
36	90.05465157
37	89.13617185
38	87.38861844
39	86.45044576
40	84.84793691
41	84.06794971
42	83.35114241
43	82.42660646
44	81.43309386
45	80.71058365
46	80.08872266
47	79.2994517
48	78.50017949
49	77.37850464
50	76.80990044
51	75.34702532
52	74.80959386
53	74.35924563
54	73.31175001
55	72.14599794
56	71.6919032
57	71.23171692
58	70.24297589
59	69.18758586
60	68.70372752
61	68.25034895
62	67.28639249
63	66.35177121
64	65.65274991
65	65.15996953
66	64.72380731
67	64.15156954
68	63.8165046
69	63.0713056
70	62.73212038
71	62.43840106
72	61.89259372
73	61.52397949
74	61.26720186
75	60.89976338
76	60.61910369
77	60.30839568
78	60.02488699
79	59.58274581
80	58.84307653
81	58.49283074
82	57.85047716
83	57.61271297
84	57.37523643
85	57.06571469
86	56.47838987
87	56.27227762
88	56.015736
89	55.70840944
90	55.22628426
91	55.0081062
92	54.67441874
93	54.39677691
94	53.96765668
95	53.79502888
96	53.59378036
97	53.17606443
98	52.90685033
99	52.49542832
100	52.31317173
101	52.05338258
102	51.78937951
103	51.49592223
104	51.12080501
105	50.91878971
106	50.57752824
107	50.32789985
108	50.21676273
109	49.91663908
110	49.68526812
111	49.47168903
112	49.34833148
113	49.23158122
114	48.91671359
115	48.76613664
116	48.6455111
117	48.47352109
118	48.3253335
119	48.12003037
120	47.99128512
121	47.802179
122	47.51719558
123	47.24782277
124	47.08534721
125	46.94221305
126	46.84437002
127	46.63757326
128	46.53231406
129	46.3462402
130	46.10948834
131	46.01532281
132	45.83038352
133	45.62515751
134	45.4508571
135	45.31506129
136	45.18911628
137	44.9911475
138	44.87589915
139	44.70210121
140	44.54515526
141	44.4013976
142	44.25916156
143	44.13431157
144	44.00425236
145	43.83022785
146	43.66916892
147	43.51664627
148	43.36494674
149	43.25240632
150	43.1611139
151	43.02258993
152	42.84343365
153	42.69329884
154	42.61581364
155	42.53834662
156	42.41516718
157	42.31641741
158	42.23532417
159	42.14781863
160	41.96988735
161	41.85910238
162	41.74867211
163	41.68118204
164	41.52699901
165	41.38232461
166	41.23614498
167	41.16252951
168	41.03690228
169	40.93736292
170	40.82424332
171	40.70699356
172	40.5832574
173	40.48320319
174	40.39525457
175	40.2919152
176	40.22247288
177	40.10904703
178	40.02953186
179	39.9722989
180	39.91125854
181	39.84853837
182	39.78036651
183	39.67101655
184	39.5772536
185	39.44435873
186	39.35174377
187	39.27498199
188	39.18797211
189	39.12188192
190	39.07188554
191	39.01454208
192	38.93455173
193	38.88022449
194	38.82770698
195	38.73630914
196	38.6618929
197	38.546358
198	38.49296652
199	38.4056676
200	38.32926817
201	38.24753519
202	38.17645164
203	38.07512975
204	38.03222143
205	37.96894179
206	37.91080257
207	37.86200724
208	37.75524407
209	37.69470713
210	37.63910723
211	37.59310211
212	37.53146201
213	37.4930241
214	37.41797219
215	37.36733414
216	37.3133731
217	37.25811668
218	37.19936454
219	37.14486719
220	37.07395951
221	37.03812135
222	36.98691542
223	36.93393932
224	36.88303194
225	36.82672569
226	36.77933068
227	36.7322369
228	36.67160357
229	36.64060869
230	36.58845101
231	36.52790962
232	36.49074331
233	36.460685
234	36.42694265
235	36.37265176
236	36.33131281
237	36.28480277
238	36.23974206
239	36.18654908
240	36.10094971
241	36.06776939
242	36.01754883
243	35.96052188
244	35.92120176
245	35.86235308
246	35.81402449
247	35.78572848
248	35.75292934
249	35.66641108
250	35.62714404
251	35.57625104
252	35.5385144
253	35.50826462
254	35.46673876
255	35.41878248
256	35.34144532
257	35.30368909
258	35.25111721
259	35.20276939
260	35.16037403
261	35.13708575
262	35.08924683
263	35.04896295
264	35.00993518
265	34.98101597
266	34.95622943
267	34.89128335
268	34.81436888
269	34.76865794
270	34.73260634
271	34.68504788
272	34.64844115
273	34.58556802
274	34.54064081
