iter	Passed	Remaining
0	21	21507
1	32	16236
2	35	11890
3	39	9935
4	43	8595
5	46	7756
6	49	7085
7	53	6607
8	56	6207
9	59	5928
10	74	6726
11	90	7417
12	98	7451
13	101	7162
14	105	6919
15	109	6711
16	112	6479
17	115	6310
18	119	6157
19	122	6017
20	126	5887
21	130	5779
22	133	5673
23	137	5576
24	140	5489
25	144	5398
26	147	5310
27	151	5253
28	154	5177
29	157	5100
30	161	5050
31	164	4990
32	168	4926
33	171	4881
34	175	4830
35	178	4771
36	182	4754
37	186	4709
38	189	4667
39	193	4640
40	196	4602
41	200	4575
42	204	4544
43	207	4511
44	211	4481
45	215	4460
46	218	4431
47	222	4416
48	226	4388
49	229	4354
50	238	4445
51	246	4500
52	255	4561
53	258	4536
54	262	4506
55	266	4488
56	269	4464
57	273	4443
58	276	4412
59	280	4392
60	283	4369
61	287	4348
62	291	4331
63	294	4309
64	298	4289
65	302	4274
66	305	4255
67	308	4234
68	312	4220
69	316	4199
70	319	4178
71	323	4168
72	326	4150
73	330	4133
74	334	4119
75	337	4101
76	340	4082
77	344	4073
78	347	4057
79	351	4039
80	354	4027
81	358	4008
82	361	3994
83	365	3981
84	369	3973
85	372	3963
86	376	3953
87	380	3942
88	383	3929
89	387	3919
90	391	3906
91	394	3894
92	398	3886
93	403	3884
94	406	3873
95	410	3862
96	413	3853
97	416	3836
98	420	3827
99	424	3816
100	427	3805
101	431	3796
102	434	3785
103	438	3776
104	442	3769
105	445	3759
106	449	3749
107	453	3741
108	456	3734
109	459	3721
110	462	3707
111	466	3695
112	469	3688
113	473	3679
114	476	3669
115	480	3661
116	484	3653
117	487	3644
118	491	3637
119	495	3632
120	499	3627
121	502	3619
122	505	3606
123	509	3597
124	513	3591
125	523	3630
126	533	3669
127	545	3713
128	555	3753
129	565	3782
130	577	3830
131	587	3866
132	598	3902
133	604	3909
134	608	3898
135	612	3888
136	616	3881
137	621	3879
138	631	3914
139	642	3947
140	652	3976
141	655	3962
142	659	3950
143	663	3942
144	666	3932
145	672	3936
146	676	3922
147	679	3909
148	682	3900
149	686	3887
150	689	3877
151	693	3868
152	696	3857
153	700	3849
154	704	3838
155	707	3827
156	711	3819
157	715	3811
158	718	3798
159	721	3787
160	725	3780
161	728	3769
162	732	3759
163	735	3750
164	738	3739
165	742	3730
166	746	3722
167	749	3711
168	752	3701
169	756	3694
170	759	3683
171	763	3674
172	767	3667
173	770	3658
174	774	3649
175	778	3642
176	781	3633
177	785	3628
178	789	3619
179	792	3608
180	798	3614
181	802	3605
182	805	3597
183	809	3591
184	813	3582
185	816	3574
186	821	3569
187	824	3562
188	827	3551
189	830	3542
190	834	3534
191	837	3525
192	840	3515
193	844	3509
194	848	3500
195	851	3491
196	854	3484
197	858	3475
198	865	3484
199	869	3477
200	872	3467
201	876	3461
202	879	3453
203	882	3445
204	886	3439
205	890	3431
206	893	3423
207	899	3424
208	902	3417
209	906	3410
210	910	3403
211	913	3394
212	916	3387
213	919	3378
214	923	3373
215	927	3366
216	930	3357
217	934	3351
218	938	3345
219	941	3338
220	945	3332
221	948	3325
222	952	3318
223	956	3312
224	959	3306
225	962	3297
226	966	3291
227	973	3295
228	996	3353
229	1007	3373
230	1013	3373
231	1016	3365
232	1020	3358
233	1023	3351
234	1027	3343
235	1030	3336
236	1034	3330
237	1038	3324
238	1041	3315
239	1045	3309
240	1048	3302
241	1051	3294
242	1055	3287
243	1059	3281
244	1062	3275
245	1071	3284
246	1086	3310
247	1094	3317
248	1097	3310
249	1101	3303
250	1104	3295
251	1107	3287
252	1111	3281
253	1115	3274
254	1118	3267
255	1122	3261
256	1125	3254
257	1128	3246
258	1132	3240
259	1136	3233
260	1139	3226
261	1143	3219
262	1146	3212
263	1149	3205
264	1153	3199
265	1157	3193
